,Pin,Dispatch Center,Origin Center,Return Center,Facility City,Facility State,ODA
0,756132,Chandbali_Binataro_D (Orissa),Chandbali_Binataro_D (Orissa),Chandbali_Binataro_D (Orissa),Chandbali,Orissa,TRUE
1,752109,Konark_Central_DPP_2 (Orissa),Konark_Central_DPP_2 (Orissa),Konark_Central_DPP_2 (Orissa),Konark,Orissa,TRUE
2,221313,Varanasi_Birbhanpur_H (Uttar Pradesh),Varanasi_Birbhanpur_H (Uttar Pradesh),Varanasi_Birbhanpur_H (Uttar Pradesh),Varanasi,Uttar Pradesh,TRUE
3,246723,Bijnor_NaginaRd_D (Uttar Pradesh),Bijnor_NaginaRd_D (Uttar Pradesh),Bijnor_NaginaRd_D (Uttar Pradesh),Bijnor,Uttar Pradesh,FALSE
4,442003,Wardha_Alodi_D (Maharashtra),Wardha_Alodi_D (Maharashtra),Wardha_Alodi_D (Maharashtra),Wardha,Maharashtra,TRUE
5,517571,Puttur_Artmclny_D (Andhra Pradesh),Puttur_Artmclny_D (Andhra Pradesh),Puttur_Artmclny_D (Andhra Pradesh),Puttur-AP,Andhra Pradesh,TRUE
6,346004,Bhavnagar_Chitra_I (Gujarat),Bhavnagar_Chitra_I (Gujarat),Bhavnagar_Chitra_I (Gujarat),Bhavnagar,Gujarat,TRUE
7,623202,Karaikudi_Sivaganga_D (Tamil Nadu),Karaikudi_Sivaganga_D (Tamil Nadu),Karaikudi_Sivaganga_D (Tamil Nadu),Karaikudi,Tamil Nadu,FALSE
8,733130,Raiganj_Gobindpur_D (West Bengal),Raiganj_Gobindpur_D (West Bengal),Raiganj_Gobindpur_D (West Bengal),Raiganj,West Bengal,TRUE
9,781101,Guwahati_Kaikchi_L (Assam),Guwahati_Kaikchi_GW (Assam),Guwahati_Kaikchi_L (Assam),Guwahati,Assam,FALSE
10,816118,Shikaripara_Karakata_D (Jharkhand),Shikaripara_Karakata_D (Jharkhand),Shikaripara_Karakata_D (Jharkhand),Shikaripara,Jharkhand,TRUE
11,602021,MAA_Poonamallee_L (Tamil Nadu),Chennai_Parivakkam_H (Tamil Nadu),MAA_Poonamallee_L (Tamil Nadu),Chennai,Tamil Nadu,FALSE
12,573118,Hassan_Nagathavalli_I (Karnataka),Hassan_Nagathavalli_I (Karnataka),Hassan_Nagathavalli_I (Karnataka),Hassan,Karnataka,FALSE
13,388550,Vatadara_Banejda_DPP (Gujarat),Vatadara_Banejda_DPP (Gujarat),Vatadara_Banejda_DPP (Gujarat),Vatadara,Gujarat,FALSE
14,785687,Nazira_Amina_D (Assam),Nazira_Amina_D (Assam),Nazira_Amina_D (Assam),Nazira,Assam,TRUE
15,785101,Jorhat_Chokihaat_I (Assam),Jorhat_Chokihaat_I (Assam),Jorhat_Chokihaat_I (Assam),Jorhat,Assam,FALSE
16,583124,Kudligi_Vidyanagar_D (Karnataka),Kudligi_Vidyanagar_D (Karnataka),Kudligi_Vidyanagar_D (Karnataka),Kudligi,Karnataka,TRUE
17,431131,Majalgaon_SmbjiCwk_D (Maharashtra),Majalgaon_SmbjiCwk_D (Maharashtra),Majalgaon_SmbjiCwk_D (Maharashtra),Manjlegaon,Maharashtra,TRUE
